id,Population
1,32526562
2,2889167
3,39666519
4,55538
5,70473
6,25021974
7,91818
8,43416755
9,3017712
10,103889
11,23781169
12,8611088
13,9651349
14,388019
15,1377237
16,16099564
17,284215
18,9513
19,11285721
20,359287
21,65235
22,10879829
23,77483
24,10724705
25,3810416
26,2262485
27,20784753
28,30117
29,423188
30,7177991
31,1810557
32,11178921
34,15577899
35,23344179
36,35851774
37,520502
38,59967
39,4900274
40,14037472
41,17948141
42,137122
43,48228704
44,788474
45,462033
46,77266814
47,480785
48,22701556
49,4224404
50,11389562
